customer_id,name,region,contract_type,contact_pref,has_auto_pay,is_on_promotion,num_products,tenure_days,ARPU,avg_monthly_spend_6m,total_data_MB_30d,total_minutes_30d,num_late_payments_12m,payment_delay_days_mean_12m,days_since_last_payment,overdue_amount,complaint_last_6m,downgrade_in_last_90d,support_calls_3m,recent_topup_amount,due_date,suspension_date,payment_link,support_number,churned,risk_score,label
CUST00398,Saanvi_398,Central,postpaid,email,1,1,3,1505,616.87,631.29,9659,525,0,1.82,17,104.91,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.0933938852762842,premium
CUST01529,Saanvi_29,South,fixed,sms,1,0,3,111,887.79,960.39,19117,117,3,29.57,51,2101.38,0,0,1,500,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,1.2987461373010054,defector
CUST01887,Ananya_387,Central,prepaid,sms,0,0,1,1212,167.13,184.28,3535,12,0,12.33,26,148.24,0,0,3,50,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.4826384526388014,normal
CUST00080,Isha_80,South,postpaid,sms,0,0,1,219,397.71,382.13,1310,723,1,5.74,55,548.72,0,0,1,0,2025-12-14,2025-12-24,{payment_link},1800-111-222,0,0.7459615505458357,normal
CUST01593,Arjun_93,Central,postpaid,sms,0,0,2,104,597.94,644.49,6847,631,0,4.84,9,539.59,1,1,0,200,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.5099515342644217,normal
CUST01626,Kavya_126,Central,fixed,sms,1,0,1,634,939.98,800.04,22267,145,0,14.27,50,878.65,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.5173322257209411,normal
CUST01802,Aditya_302,North,prepaid,sms,0,0,1,202,121.19,143.66,82,209,0,4.17,35,165.79,1,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.7241365624237394,normal
CUST01020,Isha_20,Central,prepaid,sms,0,0,1,166,134.69,145.82,4898,443,0,8.44,8,70.61,0,0,1,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.2293456130387478,premium
CUST01265,Ananya_265,West,prepaid,email,0,0,2,1084,235.8,240.02,5253,120,3,26.25,33,1060.24,1,0,0,50,2025-12-14,2025-12-24,{payment_link},1800-333-444,0,2.3218524429848166,defector
CUST01298,Ishaan_298,Central,postpaid,sms,0,0,2,198,363.1,353.01,8739,343,0,8.02,22,357.22,0,0,1,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.4888621629435392,normal
CUST00099,Vivaan_99,Central,prepaid,email,1,0,3,107,355.19,343.11,14868,48,6,20.79,54,1566.45,0,1,0,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,2.4767614595537664,defector
CUST00007,Neha_7,Central,prepaid,sms,1,0,1,165,153.74,146.0,1202,163,1,12.34,4,159.07,0,0,0,50,2025-12-09,2025-12-19,{payment_link},1800-111-222,0,0.5090435374975326,normal
CUST00589,Ishaan_89,East,prepaid,sms,0,0,1,1690,83.76,87.09,5726,232,0,5.75,8,99.89,0,0,1,50,2025-12-29,2026-01-08,{payment_link},1800-222-333,0,0.6088113650714909,normal
CUST00223,Sai_223,North,postpaid,sms,0,0,4,1868,785.61,830.79,1748,472,1,9.06,58,1468.8,1,0,1,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,1.0027324043505814,normal
CUST00881,Rahul_381,South,prepaid,email,0,0,1,423,179.45,148.1,4452,205,0,0.0,9,432.2,0,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,1.2606559944486209,defector
CUST00439,Ananya_439,North,postpaid,sms,0,0,2,143,453.73,439.79,9574,421,1,17.67,54,1270.2,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,1.4360572134727465,defector
CUST00546,Vivaan_46,East,prepaid,sms,1,0,1,956,184.26,207.35,4639,385,0,10.94,55,326.35,0,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.8706297465565688,normal
CUST01253,Saanvi_253,West,postpaid,sms,1,0,3,1233,480.27,527.44,1234,455,0,0.0,108,1674.13,0,0,2,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,1.8232977315760528,defector
CUST01278,Priya_278,East,postpaid,sms,0,1,1,389,265.29,270.78,2530,471,1,5.61,8,155.31,0,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.2952259819792767,premium
CUST00989,Neha_489,South,postpaid,sms,0,1,3,149,480.49,455.63,8889,241,0,0.0,68,91.96,0,0,1,50,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,0.1018391687471529,premium
CUST01794,Krishna_294,North,postpaid,sms,0,0,1,603,399.95,379.12,9437,309,1,14.3,40,734.86,0,0,0,50,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.9251834982877885,normal
CUST01212,Aarav_212,West,prepaid,email,1,0,1,105,50.23,55.28,1261,279,0,0.0,15,28.16,1,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.2832177518120959,premium
CUST00314,Rahul_314,Central,postpaid,sms,0,0,1,114,237.75,273.77,6642,446,0,0.0,0,0.0,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,-0.007030737524972,premium
CUST01845,Aarav_345,North,postpaid,sms,1,1,1,1157,522.32,519.54,10553,210,0,0.0,88,626.7,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.6299145387235251,normal
CUST01751,Kavya_251,Central,postpaid,sms,0,0,1,1095,421.44,427.51,3705,226,0,7.9,12,18.72,0,0,2,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.0415528217628966,premium
CUST01581,Pooja_81,East,prepaid,sms,1,0,2,266,188.1,204.59,5203,163,0,2.75,81,741.33,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,1.989806990067732,defector
CUST00672,Neha_172,West,postpaid,whatsapp,0,1,1,545,409.35,412.93,14290,314,0,3.23,130,396.4,0,0,1,200,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.5668349919468155,normal
CUST01667,Kavya_167,East,prepaid,sms,0,0,1,262,102.46,94.53,2291,2,0,0.0,55,145.23,0,0,1,0,2025-12-14,2025-12-24,{payment_link},1800-111-222,0,0.711539635519968,normal
CUST01025,Saanvi_25,East,postpaid,sms,0,0,1,94,527.06,588.14,9125,319,1,0.0,41,824.47,1,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.8308542471732112,normal
CUST01129,Aditya_129,North,prepaid,email,1,0,1,1394,266.86,281.67,5585,72,8,42.95,22,1513.96,0,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,3.069593194633129,defector
CUST00484,Isha_484,North,prepaid,sms,0,0,4,1788,443.07,421.86,7062,474,1,4.36,78,792.74,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.9633607916513454,normal
CUST01863,Priya_363,West,postpaid,sms,0,0,4,160,793.23,838.65,5241,574,0,1.98,31,1005.03,0,1,1,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.7187409405374439,normal
CUST01712,Priya_212,North,postpaid,sms,1,0,2,448,579.25,531.57,4003,827,1,0.0,0,1159.57,1,0,0,100,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,1.0161672816969527,normal
CUST00227,Kabir_227,North,prepaid,sms,0,0,1,269,154.33,155.22,5631,307,0,0.0,51,212.98,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.7449825224372466,normal
CUST01689,Kabir_189,South,postpaid,sms,0,0,1,75,415.52,445.36,8539,177,0,8.68,153,442.23,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.6328745365115167,normal
CUST00259,Diya_259,South,postpaid,email,0,0,2,551,595.72,561.0,6557,565,0,0.0,7,1319.26,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,0,1.1484524292762712,normal
CUST01958,Ishaan_458,North,prepaid,email,0,0,1,327,187.33,177.7,4086,47,1,16.3,1,96.73,0,1,0,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.3163921978246416,premium
CUST01664,Krishna_164,East,prepaid,email,0,0,1,787,162.46,176.18,5195,187,1,21.67,38,150.1,0,0,2,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,1,0.5092164712662464,normal
CUST00620,Neha_120,Central,postpaid,sms,0,0,1,192,392.63,461.36,7547,167,1,13.78,12,488.54,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.6334600522958743,normal
CUST00504,Aditya_4,North,postpaid,sms,0,0,1,866,368.96,397.05,6545,382,3,14.95,21,995.04,0,0,0,0,2025-12-14,2025-12-24,{payment_link},1800-111-222,0,1.4717296085544287,defector
CUST01516,Isha_16,Central,prepaid,email,0,0,1,1403,220.68,203.05,4300,14,0,0.0,27,805.93,0,0,1,0,2025-12-14,2025-12-24,{payment_link},1800-222-333,0,1.8392324944585856,defector
CUST00600,Vihaan_100,West,postpaid,email,0,0,2,1625,455.78,365.65,6908,292,0,15.46,22,19.28,0,0,0,100,2025-12-09,2025-12-19,{payment_link},1800-111-222,0,0.0366871198153705,premium
CUST00395,Isha_395,East,postpaid,sms,1,0,3,455,615.01,658.83,9125,477,0,4.04,15,1798.76,0,0,0,0,2025-12-14,2025-12-24,{payment_link},1800-222-333,0,1.4757465916305836,defector
CUST01237,Ishaan_237,East,prepaid,email,0,0,1,926,232.68,258.5,4276,224,0,0.61,24,447.68,0,0,0,200,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,1.0009124686578648,normal
CUST00860,Pooja_360,South,postpaid,email,0,0,4,436,728.93,753.49,8200,470,0,0.0,10,488.94,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,0.3421561289388911,premium
CUST01251,Aanya_251,North,prepaid,sms,0,0,1,986,231.87,237.94,2051,35,0,5.36,57,363.37,0,0,1,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.8067602204449398,normal
CUST00419,Kabir_419,Central,prepaid,email,0,0,1,387,166.32,153.99,3624,174,1,2.55,17,350.95,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-111-222,0,1.0745349422094006,normal
CUST01082,Rahul_82,South,prepaid,sms,0,0,4,299,490.04,521.99,10181,486,1,18.63,7,657.28,0,1,0,0,2025-12-29,2026-01-08,{payment_link},1800-222-333,0,0.7591448424365839,normal
CUST01213,Rahul_213,North,postpaid,sms,0,0,1,348,416.87,399.88,4452,386,6,17.4,32,1772.62,0,0,1,100,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,2.248647771760127,defector
CUST00857,Vihaan_357,West,postpaid,sms,1,0,1,763,497.62,649.88,8115,291,0,10.55,16,292.39,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.3169008592813194,premium
CUST01297,Pooja_297,Central,postpaid,email,0,0,2,56,506.73,583.46,9721,536,1,13.73,3,305.25,0,1,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,1,0.3683537021931861,premium
CUST00530,Isha_30,Central,postpaid,sms,1,1,1,536,361.69,392.81,6069,942,2,23.51,36,1007.14,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,0,1.4880235295369686,defector
CUST00373,Kabir_373,East,postpaid,whatsapp,0,0,1,900,343.93,335.84,7399,422,0,1.31,36,270.84,0,0,0,200,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.4205324584644476,premium
CUST01788,Kavya_288,North,postpaid,email,0,0,1,738,303.37,349.89,32,614,1,1.07,29,911.1,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,1.5523607101080363,defector
CUST01193,Diya_193,East,prepaid,email,0,0,2,521,271.15,280.68,4546,344,1,22.27,4,389.39,0,0,1,500,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.7441773355357458,normal
CUST01569,Kavya_69,Central,postpaid,email,0,1,1,337,476.9,549.24,8429,163,0,4.25,23,209.32,0,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.2185348390506186,premium
CUST00576,Sai_76,South,prepaid,sms,0,0,2,1414,252.04,250.68,4423,149,1,9.56,7,256.24,0,0,2,200,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.5351391613031383,normal
CUST01225,Priya_225,East,prepaid,sms,0,1,1,755,158.54,162.68,2158,66,0,1.06,4,85.21,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.2523291373653785,premium
CUST01409,Sai_409,Central,postpaid,sms,1,0,1,360,377.21,402.97,10934,307,1,0.21,9,404.93,0,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.5655616997395089,normal
CUST00994,Isha_494,East,postpaid,sms,1,0,2,898,450.95,462.28,4763,520,2,3.17,8,1105.87,1,0,0,0,2025-12-14,2025-12-24,{payment_link},1800-222-333,0,1.2767255586094552,defector
CUST01828,Krishna_328,South,prepaid,sms,1,1,3,2090,298.75,329.64,4312,340,0,0.0,7,218.69,0,1,0,0,2025-12-02,2025-12-12,{payment_link},1800-333-444,1,0.4048811176424489,premium
CUST01345,Kabir_345,West,postpaid,sms,1,0,1,304,720.2,667.46,5583,638,0,0.0,33,1289.08,0,0,0,100,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.9237877598320606,normal
CUST01134,Isha_134,South,postpaid,email,0,0,2,629,469.17,416.13,3069,444,0,11.4,20,271.31,1,0,0,100,2025-12-14,2025-12-24,{payment_link},1800-222-333,0,0.3116647595895706,premium
CUST00376,Diya_376,Central,prepaid,email,0,0,1,750,129.71,124.2,12292,249,2,10.62,6,151.91,0,0,0,200,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.6270000768969703,normal
CUST01511,Sai_11,North,postpaid,sms,1,1,1,486,494.18,469.73,1403,402,0,2.88,19,11.53,0,0,0,200,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,-0.0131128282456334,premium
CUST01856,Sneha_356,South,prepaid,sms,0,0,1,247,176.48,189.24,5,53,0,11.04,23,31.93,0,0,3,100,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.1092671715309213,premium
CUST00650,Isha_150,North,postpaid,sms,0,0,1,280,482.72,479.71,5922,475,2,11.62,19,570.56,0,0,1,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.6912750263987372,normal
CUST00527,Priya_27,South,postpaid,sms,0,0,1,49,465.56,549.62,10300,205,0,18.88,32,333.61,0,0,1,0,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.380299080383801,premium
CUST00807,Diya_307,South,fixed,email,0,0,1,75,837.18,890.44,21030,110,5,32.68,6,3062.27,1,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,1.9097216807095485,defector
CUST00247,Priya_247,North,prepaid,sms,1,1,1,2206,178.5,171.47,1902,312,0,0.0,13,136.31,1,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,0,0.39881932044236,premium
CUST01914,Ananya_414,East,postpaid,email,1,0,1,865,564.78,531.04,6265,436,0,6.24,19,444.27,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.4179941487984843,premium
CUST01305,Diya_305,South,postpaid,email,1,0,2,2677,596.8,647.96,7206,478,1,22.32,44,1465.82,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,0,1.2434583135840434,defector
CUST01172,Aditya_172,East,postpaid,whatsapp,0,0,1,85,437.52,413.09,566,560,0,1.21,51,335.11,0,0,1,200,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.4490502323805754,normal
CUST00147,Sai_147,East,postpaid,email,1,1,1,63,463.62,439.95,4522,454,0,1.89,58,526.3,0,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.6467359763667185,normal
CUST00809,Rahul_309,Central,prepaid,sms,1,0,2,30,293.78,307.92,1138,520,1,0.0,7,506.38,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-333-444,0,0.8626356503042723,normal
CUST01156,Diya_156,Central,prepaid,email,0,0,1,30,219.19,241.73,3455,163,2,7.66,100,544.02,0,0,0,50,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,1.3426987591870154,defector
CUST00359,Diya_359,South,fixed,email,0,0,2,169,748.9,741.26,25787,17,0,9.96,1,463.92,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.3089889850013244,premium
CUST00109,Aditya_109,West,postpaid,email,1,0,1,2432,241.15,260.28,8881,560,0,0.0,81,387.23,0,0,1,50,2025-12-14,2025-12-24,{payment_link},1800-333-444,0,0.8332190548145458,normal
CUST01263,Neha_263,South,postpaid,sms,0,0,1,986,291.24,280.64,6171,244,3,15.92,36,692.56,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,1.2711818432211688,defector
CUST00453,Priya_453,North,postpaid,sms,0,0,1,1529,447.0,451.62,1054,503,0,0.37,16,123.2,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.1388165140277791,premium
CUST01600,Kabir_100,South,fixed,email,0,0,3,1316,1068.88,1278.43,16807,249,2,6.96,70,4633.48,0,0,0,0,2025-12-29,2026-01-08,{payment_link},1800-333-444,0,2.2604994434998176,defector
CUST01893,Aditya_393,West,postpaid,sms,0,0,1,57,452.0,437.74,8352,423,1,16.42,12,668.1,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.7802484886972335,normal
CUST00435,Isha_435,East,postpaid,sms,0,0,1,125,443.7,479.25,7431,497,0,10.14,65,335.43,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.4000999295627983,premium
CUST01444,Neha_444,North,fixed,email,0,0,1,427,561.56,592.3,33392,105,0,6.16,7,389.94,0,0,2,100,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.3509788090613684,premium
CUST01248,Aditya_248,South,prepaid,sms,0,0,4,1726,501.9,482.07,7280,83,0,5.36,58,237.22,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.2561577547499586,premium
CUST00113,Saanvi_113,South,postpaid,sms,0,0,1,340,250.35,234.07,4666,110,0,4.45,27,184.07,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.4047597316827734,premium
CUST00920,Saanvi_420,Central,postpaid,sms,0,0,1,606,192.53,220.61,10311,153,0,5.28,16,31.87,0,1,0,0,2025-12-14,2025-12-24,{payment_link},1800-111-222,1,0.1623921288015405,premium
CUST00231,Ishaan_231,South,postpaid,sms,1,1,4,30,604.45,626.78,5484,499,0,0.0,43,1318.12,0,0,1,50,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,1.1061248267304389,normal
CUST01658,Rahul_158,South,postpaid,sms,1,1,3,108,498.09,568.21,10791,542,3,16.13,25,1312.29,1,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,1.417536820176872,defector
CUST01539,Diya_39,West,prepaid,email,1,1,1,696,175.72,176.71,621,356,0,17.5,24,85.11,0,0,1,200,2025-12-14,2025-12-24,{payment_link},1800-222-333,0,0.2950410675268821,premium
CUST01360,Vivaan_360,West,postpaid,email,0,0,1,312,370.18,383.62,7602,533,0,7.9,11,239.86,0,0,0,0,2025-12-14,2025-12-24,{payment_link},1800-111-222,0,0.3506896117172843,premium
CUST00552,Sneha_52,Central,fixed,sms,0,0,1,713,994.04,808.38,12047,266,0,4.95,9,491.87,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-333-444,0,0.2299729784604059,premium
CUST01703,Aanya_203,South,postpaid,email,1,1,1,781,438.17,375.09,4813,594,2,3.31,40,1279.11,1,1,0,0,2025-12-09,2025-12-19,{payment_link},1800-111-222,0,1.5540054286229603,defector
CUST00499,Aarav_499,North,postpaid,email,1,0,1,208,149.69,141.19,6164,551,1,14.97,46,391.08,0,0,0,100,2025-12-14,2025-12-24,{payment_link},1800-333-444,0,1.389654248445084,defector
CUST00945,Sneha_445,South,postpaid,sms,0,0,4,347,612.25,665.44,16807,498,0,7.86,44,71.9,1,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.0701889642746017,premium
CUST00873,Aanya_373,Central,prepaid,email,1,0,1,480,152.88,156.77,3087,7,0,0.0,6,42.73,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.1276868452753698,premium
CUST01686,Aanya_186,East,postpaid,sms,1,0,1,1903,402.16,447.54,7069,478,1,2.44,22,704.15,0,0,0,100,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.9415384656896388,normal
CUST01454,Sneha_454,South,postpaid,email,1,1,1,87,427.06,313.18,2484,95,0,4.52,17,450.94,0,0,2,50,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.5404288374335665,normal
CUST00721,Pooja_221,North,postpaid,sms,0,0,2,4688,587.97,535.11,2506,503,0,11.38,23,426.55,0,0,0,500,2025-12-29,2026-01-08,{payment_link},1800-222-333,0,0.3855728544422721,premium
CUST00203,Priya_203,East,postpaid,email,1,0,1,1142,285.79,286.62,734,21,0,0.0,16,21.57,1,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.0323830560971709,premium
CUST01785,Diya_285,Central,postpaid,sms,0,0,2,536,623.55,651.5,6431,465,0,3.95,58,870.07,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-222-333,0,0.7403236559991886,normal
CUST00542,Sneha_42,Central,prepaid,sms,0,0,1,268,172.24,141.02,869,638,1,12.27,4,224.18,0,0,0,0,2025-12-09,2025-12-19,{payment_link},1800-222-333,0,0.6873045871863509,normal
CUST00666,Vihaan_166,West,postpaid,sms,1,0,1,680,367.97,425.97,10497,461,0,9.27,49,869.49,0,0,1,100,2025-12-29,2026-01-08,{payment_link},1800-222-333,0,1.17371202652267,normal
CUST00514,Vivaan_14,North,prepaid,sms,0,0,1,219,149.57,136.98,77,214,0,0.0,7,142.45,0,0,2,100,2025-12-14,2025-12-24,{payment_link},1800-111-222,0,0.461707268555996,normal
CUST00630,Aarav_130,East,prepaid,email,0,0,1,1130,109.31,99.0,1045,321,1,10.5,57,325.27,0,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,1.4998483811240386,defector
CUST00170,Saanvi_170,East,prepaid,email,0,1,1,374,155.11,148.21,1386,135,1,11.4,4,238.96,1,0,2,100,2025-12-06,2025-12-16,{payment_link},1800-333-444,0,0.7641628715889639,normal
CUST01990,Neha_490,North,prepaid,sms,0,0,2,661,222.47,274.69,4112,153,0,4.27,21,402.36,0,1,0,100,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.9720853263870995,normal
CUST00875,Vivaan_375,West,prepaid,email,1,0,1,1832,176.28,179.76,13160,38,2,9.35,36,499.45,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,1.4688618749565947,defector
CUST01997,Ananya_497,South,postpaid,email,1,0,2,96,532.49,633.35,909,827,1,8.12,1,1007.46,0,0,0,0,2025-12-14,2025-12-24,{payment_link},1800-333-444,0,0.9782564624505492,normal
CUST00722,Ishaan_222,West,postpaid,sms,1,0,1,631,397.26,389.19,3385,571,2,14.36,25,767.43,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,1.0469803121356258,normal
CUST01133,Aarav_133,East,postpaid,sms,1,0,1,376,561.88,375.17,7497,185,1,0.0,67,864.46,0,0,0,0,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.8443861190277179,normal
CUST00312,Vihaan_312,East,postpaid,email,1,0,1,582,404.49,392.0,11179,503,0,11.87,17,320.8,0,0,0,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.4359010822328609,premium
CUST00934,Diya_434,North,postpaid,sms,1,0,1,326,687.58,725.14,8133,615,1,5.69,74,822.91,0,0,1,0,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.6562256185916574,normal
CUST01260,Pooja_260,West,prepaid,sms,0,0,1,849,94.63,102.07,1186,151,0,3.16,1,21.0,0,1,0,50,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,0.1701540032231609,premium
CUST01621,Krishna_121,East,postpaid,email,0,1,1,112,511.62,563.38,9033,140,1,11.81,54,837.81,0,0,0,100,2025-12-02,2025-12-12,{payment_link},1800-222-333,0,0.8530384888276346,normal
CUST00104,Neha_104,North,postpaid,sms,0,0,1,958,342.74,360.77,4513,381,2,15.81,18,800.7,0,0,0,100,2025-12-02,2025-12-12,{payment_link},1800-111-222,0,1.245640248590336,defector
CUST01637,Krishna_137,West,prepaid,sms,0,0,3,32,316.49,366.47,11036,93,2,0.0,4,372.01,0,0,1,50,2025-12-06,2025-12-16,{payment_link},1800-111-222,0,0.6199020458070219,normal
CUST00601,Ishaan_101,West,prepaid,sms,1,0,1,507,174.45,171.24,1738,72,2,18.19,24,222.88,0,0,0,0,2025-12-29,2026-01-08,{payment_link},1800-222-333,0,0.7049871723897995,normal
